RDS_E_t           ; ORCA_E_t          ; RDS_E_v           ; ORCA_E_v          ; RDS_N_ttg         ; ORCA_N_ttg        ; RDS_N_v           ; ORCA_N_v          ; RDS_rob_track_err ; ORCA_rob_track_err; RDS_ped_track_err ; ORCA_ped_track_err; RDS_collisions    ; ORCA_collisions   
1.00001; 1.00002; 0.972957; 0.965695; 0.99994; 0.999941; 0.858101; 0.878868; 0.72295; 1.21525; 0.22063; 0.282028; 0; 0
0.999947; 1.00003; 1.00542; 1.01011; 1.00016; 0.999852; 0.947719; 0.872801; 0.216449; 7.08334; 0.26067; 0.338551; 0; 0
1.00015; 1.00011; 0.989411; 0.983906; 0.999489; 0.999347; 0.97181; 0.992688; 0.0717279; 0.434353; 0.187562; 0.224511; 0; 0
1.00003; 1.0001; 0.994061; 0.987214; 0.999784; 0.999595; 0.93923; 0.814006; 0.440764; 1.62907; 0.196987; 0.200794; 0; 0
1.00001; 1; 1.01096; 1.00435; 1.00011; 1.00016; 1.16607; 1.1624; 0.0922843; 1.42206; 0.218084; 0.223954; 0; 0
1.00006; 1.00003; 1.00124; 0.99694; 0.9998; 0.999971; 1.03239; 1.2771; 0.343331; 4.90553; 0.361705; 0.36879; 0; 0
1.00001; 0.999984; 1.0247; 1.02749; 0.999653; 0.999875; 1.3563; 1.3737; 1.37503; 1.21532; 0.303934; 0.293972; 0; 0
1.00005; 1.00013; 1.00478; 0.993849; 0.999893; 0.999859; 1.20945; 1.2894; 0.941679; 6.81323; 0.432514; 0.447545; 0; 0
1; 1; 1.00106; 0.997045; 0.999996; 0.999989; 1.20521; 1.22821; 1.59208; 2.79492; 0.329634; 0.343588; 0; 0
1.00002; 1.00004; 1.01698; 1.00605; 1.00036; 1.00011; 1.2777; 1.293; 0.842229; 2.69942; 0.281487; 0.320981; 0; 0
1.00001; 1; 1.00521; 1.00457; 0.999975; 0.99997; 1.21362; 1.21646; 0.0604026; 4.86756; 0.403677; 0.408288; 0; 0
0.999859; 0.999907; 0.999635; 1.0047; 0.999887; 0.999864; 1.04467; 1.23735; 0.801381; 6.80152; 0.348373; 0.425881; 0; 0
1.00003; 0.999998; 1.00618; 1.00014; 0.999587; 0.999804; 1.11177; 1.35648; 0.189878; 4.94977; 0.304551; 0.302099; 0; 0
1.00005; 0.999949; 1.00334; 1.00138; 0.999573; 1.00021; 1.15276; 1.17574; 0.207637; 1.32867; 0.303057; 0.295765; 0; 0
1; 1.00003; 1.00641; 1.00333; 1.00012; 0.999992; 0.991739; 0.961136; 0.229777; 1.85403; 0.28939; 0.291781; 0; 0
0.999994; 1.00016; 1.02807; 1.01617; 0.999468; 0.999254; 1.09039; 1.21442; 0.548681; 1.23625; 0.215607; 0.223343; 0; 0
1; 1; 0.995399; 0.99199; 0.999979; 1.00001; 1.07865; 1.20937; 0.561324; 3.5158; 0.185375; 0.194088; 0; 0
1.00007; 0.999936; 0.996924; 0.995675; 0.999788; 1.00009; 1.02086; 1.14787; 0.46296; 3.00232; 0.228559; 0.227601; 0; 0
0.999992; 1; 1.02; 1.01868; 0.999674; 0.999661; 1.26292; 1.30058; 0.436403; 1.54957; 0.183796; 0.200703; 0; 0
1.00021; 1; 1.02665; 1.02947; 0.998428; 0.998784; 1.2021; 1.42898; 0.756361; 2.05173; 0.150528; 0.1618; 0; 0
1; 1; 1.03406; 1.03294; 1.00001; 0.999987; 1.24952; 1.23756; 0.299875; 1.09771; 0.0979751; 0.106555; 0; 0
1.00006; 0.999953; 0.998269; 0.998143; 0.999879; 0.999668; 1.22764; 1.27422; 0.112147; 1.1208; 0.289486; 0.295352; 0; 0
1.00008; 1.00015; 1.00199; 1.004; 0.999859; 0.999871; 1.00142; 1.08849; 2.04837; 3.17703; 0.279954; 0.269557; 0; 0
1; 1; 1.0241; 1.02128; 1.00009; 1.00008; 1.13228; 1.13437; 0.527587; 0.880537; 0.23012; 0.238422; 0; 0
0.999979; 0.999964; 1.00285; 0.998535; 1; 0.999973; 1.2447; 1.32488; 0.363277; 1.46475; 0.224775; 0.223904; 0; 0
1.00006; 1.00007; 0.991182; 0.995714; 0.999696; 0.999828; 1.20988; 1.27575; 0.461914; 1.20876; 0.321387; 0.240772; 0; 0
1; 1.00006; 0.997663; 0.997724; 0.999997; 0.999915; 1.16305; 1.21437; 0.195477; 1.01763; 0.21341; 0.296118; 0; 0
1.00021; 1.00041; 1.00322; 0.985485; 0.999411; 0.999376; 1.12414; 1.20151; 0.139411; 1.35483; 0.229155; 0.334723; 0; 0
0.999973; 1.00006; 1.00357; 1.00668; 0.999983; 0.999736; 0.871612; 0.812737; 0.452951; 4.44259; 0.180092; 0.18888; 0; 0
0.99998; 1.00003; 1.01105; 1.02396; 0.999954; 0.999867; 1.20099; 1.14219; 0.198745; 0.577153; 0.275919; 0.359454; 0; 0
1.00001; 1; 1.01238; 1.01335; 0.999858; 0.999896; 1.20909; 1.21923; 0.169605; 0.599741; 0.225407; 0.23838; 0; 0
0.999926; 0.999999; 1.01229; 1.00789; 0.999738; 0.999896; 0.930052; 0.972747; 0.646706; 1.73917; 0.218789; 0.226508; 0; 0
1.00002; 1.00015; 0.990667; 0.988805; 1.00017; 1.00005; 1.07987; 1.21182; 0.234344; 3.25913; 0.247453; 0.308363; 0; 0
1.00004; 0.999994; 0.998709; 0.997889; 1.00002; 0.999898; 1.00029; 1.05079; 0.625156; 1.0096; 0.334187; 0.327739; 0; 0
1; 1.00002; 0.999734; 0.992382; 1.00003; 0.999987; 1.04158; 1.0671; 0.232677; 0.842395; 0.263105; 0.258008; 0; 0
0.99998; 1; 0.998408; 1.00068; 1; 1.00002; 1.0386; 1.07898; 0.526643; 0.572876; 0.315405; 0.318531; 0; 0
1.00017; 1.00021; 0.9982; 1.00275; 0.999619; 0.999412; 0.959272; 0.957605; 0.379514; 0.543124; 0.195891; 0.279523; 0; 0
1.00006; 1.00006; 1.00523; 1.0004; 0.99991; 0.99987; 0.954162; 1.0044; 0.366174; 0.968044; 0.243121; 0.269324; 0; 0
0.999983; 1.00003; 1.0182; 1.02303; 0.999969; 0.999906; 1.0455; 1.18705; 0.517039; 1.74889; 0.193519; 0.245335; 0; 0
1.00015; 1.00004; 0.99554; 0.997683; 0.99972; 0.999862; 1.21462; 1.27309; 0.741234; 1.04032; 0.4172; 0.354942; 0; 0
1.00018; 1.00021; 1.00741; 1.01867; 0.999454; 0.999272; 1.1215; 1.0621; 2.35169; 2.15624; 0.368609; 0.309962; 0; 0
1.00016; 1.00039; 1.01217; 1.00359; 0.99995; 0.999824; 1.21913; 1.28005; 0.501662; 1.69159; 0.318188; 0.437273; 0; 0
1.00011; 0.999936; 1.01548; 0.992768; 0.999849; 0.99959; 1.0554; 1.33751; 0.631239; 1.92875; 0.334891; 0.314662; 0; 0
1.00005; 1.0001; 1.00605; 1.00455; 0.999628; 0.999839; 1.50974; 1.52097; 0.704874; 0.972756; 0.257157; 0.275042; 0; 0
0.999777; 0.999995; 0.998655; 0.996715; 0.999648; 0.999889; 1.50287; 1.51194; 0.790782; 1.09611; 0.273891; 0.320403; 0; 0
1.00001; 1.00001; 0.992635; 0.978692; 0.999986; 0.999995; 1.07657; 1.19889; 3.45071; 6.02134; 0.548195; 0.366; 0; 0
1.00014; 1.0001; 0.998423; 1.00402; 0.999851; 0.999962; 1.15253; 1.02769; 1.60939; 4.23252; 0.501499; 0.287745; 0; 0
1.00003; 1.00021; 0.987334; 1.00054; 0.999967; 0.999875; 1.12914; 1.22005; 0.962999; 3.31425; 0.288061; 0.321908; 0; 0
1.00023; 1.00013; 1.03643; 1.00137; 0.999661; 0.999979; 0.908041; 1.03199; 2.12803; 3.645; 0.539612; 0.352817; 0; 0
